min_score,min_margin,correct_trigger,correct_abstain,false_trigger,wrong_tier,miss,neighbor_worst_correct
0.91,0.008,1,32,0,0,47,0
0.91,0.009,1,32,0,0,47,0
0.91,0.01,1,32,0,0,47,0
0.91,0.011,1,32,0,0,47,0
0.91,0.012,1,32,0,0,47,0
0.91,0.013,1,32,0,0,47,0
0.91,0.014,1,32,0,0,47,0
0.91,0.015,1,32,0,0,47,0
0.91,0.016,1,32,0,0,47,0
0.91,0.017,1,32,0,0,47,0
0.91,0.018,1,32,0,0,47,0
0.91,0.019,1,32,0,0,47,0
0.91,0.02,0,32,0,0,48,0
0.91,0.021,0,32,0,0,48,0
0.91,0.022,0,32,0,0,48,0
0.91,0.023,0,32,0,0,48,0
0.91,0.024,0,32,0,0,48,0
0.91,0.025,0,32,0,0,48,0
0.91,0.026,0,32,0,0,48,0
0.91,0.027,0,32,0,0,48,0
0.91,0.028,0,32,0,0,48,0
0.91,0.029,0,32,0,0,48,0
0.91,0.03,0,32,0,0,48,0
0.91,0.031,0,32,0,0,48,0
0.91,0.032,0,32,0,0,48,0
0.91,0.033,0,32,0,0,48,0
0.91,0.034,0,32,0,0,48,0
0.91,0.035,0,32,0,0,48,0
0.91,0.036,0,32,0,0,48,0
0.91,0.037,0,32,0,0,48,0
0.91,0.038,0,32,0,0,48,0
0.91,0.039,0,32,0,0,48,0
0.91,0.04,0,32,0,0,48,0
0.91,0.041,0,32,0,0,48,0
0.91,0.042,0,32,0,0,48,0
0.91,0.043,0,32,0,0,48,0
0.91,0.044,0,32,0,0,48,0
0.91,0.045,0,32,0,0,48,0
0.91,0.046,0,32,0,0,48,0
0.91,0.047,0,32,0,0,48,0
0.91,0.048,0,32,0,0,48,0
0.91,0.049,0,32,0,0,48,0
0.91,0.05,0,32,0,0,48,0
0.915,0.0,0,32,0,0,48,0
0.915,0.001,0,32,0,0,48,0
0.915,0.002,0,32,0,0,48,0
0.915,0.003,0,32,0,0,48,0
0.915,0.004,0,32,0,0,48,0
0.915,0.005,0,32,0,0,48,0
0.915,0.006,0,32,0,0,48,0
0.915,0.007,0,32,0,0,48,0
0.915,0.008,0,32,0,0,48,0
0.915,0.009,0,32,0,0,48,0
0.915,0.01,0,32,0,0,48,0
0.915,0.011,0,32,0,0,48,0
0.915,0.012,0,32,0,0,48,0
0.915,0.013,0,32,0,0,48,0
0.915,0.014,0,32,0,0,48,0
0.915,0.015,0,32,0,0,48,0
0.915,0.016,0,32,0,0,48,0
0.915,0.017,0,32,0,0,48,0
0.915,0.018,0,32,0,0,48,0
0.915,0.019,0,32,0,0,48,0
0.915,0.02,0,32,0,0,48,0
0.915,0.021,0,32,0,0,48,0
0.915,0.022,0,32,0,0,48,0
0.915,0.023,0,32,0,0,48,0
0.915,0.024,0,32,0,0,48,0
0.915,0.025,0,32,0,0,48,0
0.915,0.026,0,32,0,0,48,0
0.915,0.027,0,32,0,0,48,0
0.915,0.028,0,32,0,0,48,0
0.915,0.029,0,32,0,0,48,0
0.915,0.03,0,32,0,0,48,0
0.915,0.031,0,32,0,0,48,0
0.915,0.032,0,32,0,0,48,0
0.915,0.033,0,32,0,0,48,0
0.915,0.034,0,32,0,0,48,0
0.915,0.035,0,32,0,0,48,0
0.915,0.036,0,32,0,0,48,0
0.915,0.037,0,32,0,0,48,0
0.915,0.038,0,32,0,0,48,0
0.915,0.039,0,32,0,0,48,0
0.915,0.04,0,32,0,0,48,0
0.915,0.041,0,32,0,0,48,0
0.915,0.042,0,32,0,0,48,0
0.915,0.043,0,32,0,0,48,0
0.915,0.044,0,32,0,0,48,0
0.915,0.045,0,32,0,0,48,0
0.915,0.046,0,32,0,0,48,0
0.915,0.047,0,32,0,0,48,0
0.915,0.048,0,32,0,0,48,0
0.915,0.049,0,32,0,0,48,0
0.915,0.05,0,32,0,0,48,0
0.92,0.0,0,32,0,0,48,0
0.92,0.001,0,32,0,0,48,0
0.92,0.002,0,32,0,0,48,0
0.92,0.003,0,32,0,0,48,0
0.92,0.004,0,32,0,0,48,0
0.92,0.005,0,32,0,0,48,0
0.92,0.006,0,32,0,0,48,0
0.92,0.007,0,32,0,0,48,0
0.92,0.008,0,32,0,0,48,0
0.92,0.009,0,32,0,0,48,0
0.92,0.01,0,32,0,0,48,0
0.92,0.011,0,32,0,0,48,0
0.92,0.012,0,32,0,0,48,0
0.92,0.013,0,32,0,0,48,0
0.92,0.014,0,32,0,0,48,0
0.92,0.015,0,32,0,0,48,0
0.92,0.016,0,32,0,0,48,0
0.92,0.017,0,32,0,0,48,0
0.92,0.018,0,32,0,0,48,0
0.92,0.019,0,32,0,0,48,0
0.92,0.02,0,32,0,0,48,0
0.92,0.021,0,32,0,0,48,0
0.92,0.022,0,32,0,0,48,0
0.92,0.023,0,32,0,0,48,0
0.92,0.024,0,32,0,0,48,0
0.92,0.025,0,32,0,0,48,0
0.92,0.026,0,32,0,0,48,0
0.92,0.027,0,32,0,0,48,0
0.92,0.028,0,32,0,0,48,0
0.92,0.029,0,32,0,0,48,0
0.92,0.03,0,32,0,0,48,0
0.92,0.031,0,32,0,0,48,0
0.92,0.032,0,32,0,0,48,0
0.92,0.033,0,32,0,0,48,0
0.92,0.034,0,32,0,0,48,0
0.92,0.035,0,32,0,0,48,0
0.92,0.036,0,32,0,0,48,0
0.92,0.037,0,32,0,0,48,0
0.92,0.038,0,32,0,0,48,0
0.92,0.039,0,32,0,0,48,0
0.92,0.04,0,32,0,0,48,0
0.92,0.041,0,32,0,0,48,0
0.92,0.042,0,32,0,0,48,0
0.92,0.043,0,32,0,0,48,0
0.92,0.044,0,32,0,0,48,0
0.92,0.045,0,32,0,0,48,0
0.92,0.046,0,32,0,0,48,0
0.92,0.047,0,32,0,0,48,0
0.92,0.048,0,32,0,0,48,0
0.92,0.049,0,32,0,0,48,0
0.92,0.05,0,32,0,0,48,0
0.925,0.0,0,32,0,0,48,0
0.925,0.001,0,32,0,0,48,0
0.925,0.002,0,32,0,0,48,0
0.925,0.003,0,32,0,0,48,0
0.925,0.004,0,32,0,0,48,0
0.925,0.005,0,32,0,0,48,0
0.925,0.006,0,32,0,0,48,0
0.925,0.007,0,32,0,0,48,0
0.925,0.008,0,32,0,0,48,0
0.925,0.009,0,32,0,0,48,0
0.925,0.01,0,32,0,0,48,0
0.925,0.011,0,32,0,0,48,0
0.925,0.012,0,32,0,0,48,0
0.925,0.013,0,32,0,0,48,0
0.925,0.014,0,32,0,0,48,0
0.925,0.015,0,32,0,0,48,0
0.925,0.016,0,32,0,0,48,0
0.925,0.017,0,32,0,0,48,0
0.925,0.018,0,32,0,0,48,0
0.925,0.019,0,32,0,0,48,0
0.925,0.02,0,32,0,0,48,0
0.925,0.021,0,32,0,0,48,0
0.925,0.022,0,32,0,0,48,0
0.925,0.023,0,32,0,0,48,0
0.925,0.024,0,32,0,0,48,0
0.925,0.025,0,32,0,0,48,0
0.925,0.026,0,32,0,0,48,0
0.925,0.027,0,32,0,0,48,0
0.925,0.028,0,32,0,0,48,0
0.925,0.029,0,32,0,0,48,0
0.925,0.03,0,32,0,0,48,0
0.925,0.031,0,32,0,0,48,0
0.925,0.032,0,32,0,0,48,0
0.925,0.033,0,32,0,0,48,0
0.925,0.034,0,32,0,0,48,0
0.925,0.035,0,32,0,0,48,0
0.925,0.036,0,32,0,0,48,0
0.925,0.037,0,32,0,0,48,0
0.925,0.038,0,32,0,0,48,0
0.925,0.039,0,32,0,0,48,0
0.925,0.04,0,32,0,0,48,0
0.925,0.041,0,32,0,0,48,0
0.925,0.042,0,32,0,0,48,0
0.925,0.043,0,32,0,0,48,0
0.925,0.044,0,32,0,0,48,0
0.925,0.045,0,32,0,0,48,0
0.925,0.046,0,32,0,0,48,0
0.925,0.047,0,32,0,0,48,0
0.925,0.048,0,32,0,0,48,0
0.925,0.049,0,32,0,0,48,0
0.925,0.05,0,32,0,0,48,0
0.93,0.0,0,32,0,0,48,0
0.93,0.001,0,32,0,0,48,0
0.93,0.002,0,32,0,0,48,0
0.93,0.003,0,32,0,0,48,0
0.93,0.004,0,32,0,0,48,0
0.93,0.005,0,32,0,0,48,0
0.93,0.006,0,32,0,0,48,0
0.93,0.007,0,32,0,0,48,0
0.93,0.008,0,32,0,0,48,0
0.93,0.009,0,32,0,0,48,0
0.93,0.01,0,32,0,0,48,0
0.93,0.011,0,32,0,0,48,0
0.93,0.012,0,32,0,0,48,0
0.93,0.013,0,32,0,0,48,0
0.93,0.014,0,32,0,0,48,0
0.93,0.015,0,32,0,0,48,0
0.93,0.016,0,32,0,0,48,0
0.93,0.017,0,32,0,0,48,0
0.93,0.018,0,32,0,0,48,0
0.93,0.019,0,32,0,0,48,0
0.93,0.02,0,32,0,0,48,0
0.93,0.021,0,32,0,0,48,0
0.93,0.022,0,32,0,0,48,0
0.93,0.023,0,32,0,0,48,0
0.93,0.024,0,32,0,0,48,0
0.93,0.025,0,32,0,0,48,0
0.93,0.026,0,32,0,0,48,0
0.93,0.027,0,32,0,0,48,0
0.93,0.028,0,32,0,0,48,0
0.93,0.029,0,32,0,0,48,0
0.93,0.03,0,32,0,0,48,0
0.93,0.031,0,32,0,0,48,0
0.93,0.032,0,32,0,0,48,0
0.93,0.033,0,32,0,0,48,0
0.93,0.034,0,32,0,0,48,0
0.93,0.035,0,32,0,0,48,0
0.93,0.036,0,32,0,0,48,0
0.93,0.037,0,32,0,0,48,0
0.93,0.038,0,32,0,0,48,0
0.93,0.039,0,32,0,0,48,0
0.93,0.04,0,32,0,0,48,0
0.93,0.041,0,32,0,0,48,0
0.93,0.042,0,32,0,0,48,0
0.93,0.043,0,32,0,0,48,0
0.93,0.044,0,32,0,0,48,0
0.93,0.045,0,32,0,0,48,0
0.93,0.046,0,32,0,0,48,0
0.93,0.047,0,32,0,0,48,0
0.93,0.048,0,32,0,0,48,0
0.93,0.049,0,32,0,0,48,0
0.93,0.05,0,32,0,0,48,0
0.935,0.0,0,32,0,0,48,0
0.935,0.001,0,32,0,0,48,0
0.935,0.002,0,32,0,0,48,0
0.935,0.003,0,32,0,0,48,0
0.935,0.004,0,32,0,0,48,0
0.935,0.005,0,32,0,0,48,0
0.935,0.006,0,32,0,0,48,0
0.935,0.007,0,32,0,0,48,0
0.935,0.008,0,32,0,0,48,0
0.935,0.009,0,32,0,0,48,0
0.935,0.01,0,32,0,0,48,0
0.935,0.011,0,32,0,0,48,0
0.935,0.012,0,32,0,0,48,0
0.935,0.013,0,32,0,0,48,0
0.935,0.014,0,32,0,0,48,0
0.935,0.015,0,32,0,0,48,0
0.935,0.016,0,32,0,0,48,0
0.935,0.017,0,32,0,0,48,0
0.935,0.018,0,32,0,0,48,0
0.935,0.019,0,32,0,0,48,0
0.935,0.02,0,32,0,0,48,0
0.935,0.021,0,32,0,0,48,0
0.935,0.022,0,32,0,0,48,0
0.935,0.023,0,32,0,0,48,0
0.935,0.024,0,32,0,0,48,0
0.935,0.025,0,32,0,0,48,0
0.935,0.026,0,32,0,0,48,0
0.935,0.027,0,32,0,0,48,0
0.935,0.028,0,32,0,0,48,0
0.935,0.029,0,32,0,0,48,0
0.935,0.03,0,32,0,0,48,0
0.935,0.031,0,32,0,0,48,0
0.935,0.032,0,32,0,0,48,0
0.935,0.033,0,32,0,0,48,0
0.935,0.034,0,32,0,0,48,0
0.935,0.035,0,32,0,0,48,0
0.935,0.036,0,32,0,0,48,0
0.935,0.037,0,32,0,0,48,0
0.935,0.038,0,32,0,0,48,0
0.935,0.039,0,32,0,0,48,0
0.935,0.04,0,32,0,0,48,0
0.935,0.041,0,32,0,0,48,0
0.935,0.042,0,32,0,0,48,0
0.935,0.043,0,32,0,0,48,0
0.935,0.044,0,32,0,0,48,0
0.935,0.045,0,32,0,0,48,0
0.935,0.046,0,32,0,0,48,0
0.935,0.047,0,32,0,0,48,0
0.935,0.048,0,32,0,0,48,0
0.935,0.049,0,32,0,0,48,0
0.935,0.05,0,32,0,0,48,0
0.94,0.0,0,32,0,0,48,0
0.94,0.001,0,32,0,0,48,0
0.94,0.002,0,32,0,0,48,0
0.94,0.003,0,32,0,0,48,0
0.94,0.004,0,32,0,0,48,0
0.94,0.005,0,32,0,0,48,0
0.94,0.006,0,32,0,0,48,0
0.94,0.007,0,32,0,0,48,0
0.94,0.008,0,32,0,0,48,0
0.94,0.009,0,32,0,0,48,0
0.94,0.01,0,32,0,0,48,0
0.94,0.011,0,32,0,0,48,0
0.94,0.012,0,32,0,0,48,0
0.94,0.013,0,32,0,0,48,0
0.94,0.014,0,32,0,0,48,0
0.94,0.015,0,32,0,0,48,0
0.94,0.016,0,32,0,0,48,0
0.94,0.017,0,32,0,0,48,0
0.94,0.018,0,32,0,0,48,0
0.94,0.019,0,32,0,0,48,0
0.94,0.02,0,32,0,0,48,0
0.94,0.021,0,32,0,0,48,0
0.94,0.022,0,32,0,0,48,0
0.94,0.023,0,32,0,0,48,0
0.94,0.024,0,32,0,0,48,0
0.94,0.025,0,32,0,0,48,0
0.94,0.026,0,32,0,0,48,0
0.94,0.027,0,32,0,0,48,0
0.94,0.028,0,32,0,0,48,0
0.94,0.029,0,32,0,0,48,0
0.94,0.03,0,32,0,0,48,0
0.94,0.031,0,32,0,0,48,0
0.94,0.032,0,32,0,0,48,0
0.94,0.033,0,32,0,0,48,0
0.94,0.034,0,32,0,0,48,0
0.94,0.035,0,32,0,0,48,0
0.94,0.036,0,32,0,0,48,0
0.94,0.037,0,32,0,0,48,0
0.94,0.038,0,32,0,0,48,0
0.94,0.039,0,32,0,0,48,0
0.94,0.04,0,32,0,0,48,0
0.94,0.041,0,32,0,0,48,0
0.94,0.042,0,32,0,0,48,0
0.94,0.043,0,32,0,0,48,0
0.94,0.044,0,32,0,0,48,0
0.94,0.045,0,32,0,0,48,0
0.94,0.046,0,32,0,0,48,0
0.94,0.047,0,32,0,0,48,0
0.94,0.048,0,32,0,0,48,0
0.94,0.049,0,32,0,0,48,0
0.94,0.05,0,32,0,0,48,0
0.945,0.0,0,32,0,0,48,0
0.945,0.001,0,32,0,0,48,0
0.945,0.002,0,32,0,0,48,0
0.945,0.003,0,32,0,0,48,0
0.945,0.004,0,32,0,0,48,0
0.945,0.005,0,32,0,0,48,0
0.945,0.006,0,32,0,0,48,0
0.945,0.007,0,32,0,0,48,0
0.945,0.008,0,32,0,0,48,0
0.945,0.009,0,32,0,0,48,0
0.945,0.01,0,32,0,0,48,0
0.945,0.011,0,32,0,0,48,0
0.945,0.012,0,32,0,0,48,0
0.945,0.013,0,32,0,0,48,0
0.945,0.014,0,32,0,0,48,0
0.945,0.015,0,32,0,0,48,0
0.945,0.016,0,32,0,0,48,0
0.945,0.017,0,32,0,0,48,0
0.945,0.018,0,32,0,0,48,0
0.945,0.019,0,32,0,0,48,0
0.945,0.02,0,32,0,0,48,0
0.945,0.021,0,32,0,0,48,0
0.945,0.022,0,32,0,0,48,0
0.945,0.023,0,32,0,0,48,0
0.945,0.024,0,32,0,0,48,0
0.945,0.025,0,32,0,0,48,0
0.945,0.026,0,32,0,0,48,0
0.945,0.027,0,32,0,0,48,0
0.945,0.028,0,32,0,0,48,0
0.945,0.029,0,32,0,0,48,0
0.945,0.03,0,32,0,0,48,0
0.945,0.031,0,32,0,0,48,0
0.945,0.032,0,32,0,0,48,0
0.945,0.033,0,32,0,0,48,0
0.945,0.034,0,32,0,0,48,0
0.945,0.035,0,32,0,0,48,0
0.945,0.036,0,32,0,0,48,0
0.945,0.037,0,32,0,0,48,0
0.945,0.038,0,32,0,0,48,0
0.945,0.039,0,32,0,0,48,0
0.945,0.04,0,32,0,0,48,0
0.945,0.041,0,32,0,0,48,0
0.945,0.042,0,32,0,0,48,0
0.945,0.043,0,32,0,0,48,0
0.945,0.044,0,32,0,0,48,0
0.945,0.045,0,32,0,0,48,0
0.945,0.046,0,32,0,0,48,0
0.945,0.047,0,32,0,0,48,0
0.945,0.048,0,32,0,0,48,0
0.945,0.049,0,32,0,0,48,0
0.945,0.05,0,32,0,0,48,0
0.95,0.0,0,32,0,0,48,0
0.95,0.001,0,32,0,0,48,0
0.95,0.002,0,32,0,0,48,0
0.95,0.003,0,32,0,0,48,0
0.95,0.004,0,32,0,0,48,0
0.95,0.005,0,32,0,0,48,0
0.95,0.006,0,32,0,0,48,0
0.95,0.007,0,32,0,0,48,0
0.95,0.008,0,32,0,0,48,0
0.95,0.009,0,32,0,0,48,0
0.95,0.01,0,32,0,0,48,0
0.95,0.011,0,32,0,0,48,0
0.95,0.012,0,32,0,0,48,0
0.95,0.013,0,32,0,0,48,0
0.95,0.014,0,32,0,0,48,0
0.95,0.015,0,32,0,0,48,0
0.95,0.016,0,32,0,0,48,0
0.95,0.017,0,32,0,0,48,0
0.95,0.018,0,32,0,0,48,0
0.95,0.019,0,32,0,0,48,0
0.95,0.02,0,32,0,0,48,0
0.95,0.021,0,32,0,0,48,0
0.95,0.022,0,32,0,0,48,0
0.95,0.023,0,32,0,0,48,0
0.95,0.024,0,32,0,0,48,0
0.95,0.025,0,32,0,0,48,0
0.95,0.026,0,32,0,0,48,0
0.95,0.027,0,32,0,0,48,0
0.95,0.028,0,32,0,0,48,0
0.95,0.029,0,32,0,0,48,0
0.95,0.03,0,32,0,0,48,0
0.95,0.031,0,32,0,0,48,0
0.95,0.032,0,32,0,0,48,0
0.95,0.033,0,32,0,0,48,0
0.95,0.034,0,32,0,0,48,0
0.95,0.035,0,32,0,0,48,0
0.95,0.036,0,32,0,0,48,0
0.95,0.037,0,32,0,0,48,0
0.95,0.038,0,32,0,0,48,0
0.95,0.039,0,32,0,0,48,0
0.95,0.04,0,32,0,0,48,0
0.95,0.041,0,32,0,0,48,0
0.95,0.042,0,32,0,0,48,0
0.95,0.043,0,32,0,0,48,0
0.95,0.044,0,32,0,0,48,0
0.95,0.045,0,32,0,0,48,0
0.95,0.046,0,32,0,0,48,0
0.95,0.047,0,32,0,0,48,0
0.95,0.048,0,32,0,0,48,0
0.95,0.049,0,32,0,0,48,0
0.95,0.05,0,32,0,0,48,0
0.955,0.0,0,32,0,0,48,0
0.955,0.001,0,32,0,0,48,0
0.955,0.002,0,32,0,0,48,0
0.955,0.003,0,32,0,0,48,0
0.955,0.004,0,32,0,0,48,0
0.955,0.005,0,32,0,0,48,0
0.955,0.006,0,32,0,0,48,0
0.955,0.007,0,32,0,0,48,0
0.955,0.008,0,32,0,0,48,0
0.955,0.009,0,32,0,0,48,0
0.955,0.01,0,32,0,0,48,0
0.955,0.011,0,32,0,0,48,0
0.955,0.012,0,32,0,0,48,0
0.955,0.013,0,32,0,0,48,0
0.955,0.014,0,32,0,0,48,0
0.955,0.015,0,32,0,0,48,0
0.955,0.016,0,32,0,0,48,0
0.955,0.017,0,32,0,0,48,0
0.955,0.018,0,32,0,0,48,0
0.955,0.019,0,32,0,0,48,0
0.955,0.02,0,32,0,0,48,0
0.955,0.021,0,32,0,0,48,0
0.955,0.022,0,32,0,0,48,0
0.955,0.023,0,32,0,0,48,0
0.955,0.024,0,32,0,0,48,0
0.955,0.025,0,32,0,0,48,0
0.955,0.026,0,32,0,0,48,0
0.955,0.027,0,32,0,0,48,0
0.955,0.028,0,32,0,0,48,0
0.955,0.029,0,32,0,0,48,0
0.955,0.03,0,32,0,0,48,0
0.955,0.031,0,32,0,0,48,0
0.955,0.032,0,32,0,0,48,0
0.955,0.033,0,32,0,0,48,0
0.955,0.034,0,32,0,0,48,0
0.955,0.035,0,32,0,0,48,0
0.955,0.036,0,32,0,0,48,0
0.955,0.037,0,32,0,0,48,0
0.955,0.038,0,32,0,0,48,0
0.955,0.039,0,32,0,0,48,0
0.955,0.04,0,32,0,0,48,0
0.955,0.041,0,32,0,0,48,0
0.955,0.042,0,32,0,0,48,0
0.955,0.043,0,32,0,0,48,0
0.955,0.044,0,32,0,0,48,0
0.955,0.045,0,32,0,0,48,0
0.955,0.046,0,32,0,0,48,0
0.955,0.047,0,32,0,0,48,0
0.955,0.048,0,32,0,0,48,0
0.955,0.049,0,32,0,0,48,0
0.955,0.05,0,32,0,0,48,0
0.96,0.0,0,32,0,0,48,0
0.96,0.001,0,32,0,0,48,0
0.96,0.002,0,32,0,0,48,0
0.96,0.003,0,32,0,0,48,0
0.96,0.004,0,32,0,0,48,0
0.96,0.005,0,32,0,0,48,0
0.96,0.006,0,32,0,0,48,0
0.96,0.007,0,32,0,0,48,0
0.96,0.008,0,32,0,0,48,0
0.96,0.009,0,32,0,0,48,0
0.96,0.01,0,32,0,0,48,0
0.96,0.011,0,32,0,0,48,0
0.96,0.012,0,32,0,0,48,0
0.96,0.013,0,32,0,0,48,0
0.96,0.014,0,32,0,0,48,0
0.96,0.015,0,32,0,0,48,0
0.96,0.016,0,32,0,0,48,0
0.96,0.017,0,32,0,0,48,0
0.96,0.018,0,32,0,0,48,0
0.96,0.019,0,32,0,0,48,0
0.96,0.02,0,32,0,0,48,0
0.96,0.021,0,32,0,0,48,0
0.96,0.022,0,32,0,0,48,0
0.96,0.023,0,32,0,0,48,0
0.96,0.024,0,32,0,0,48,0
0.96,0.025,0,32,0,0,48,0
0.96,0.026,0,32,0,0,48,0
0.96,0.027,0,32,0,0,48,0
0.96,0.028,0,32,0,0,48,0
0.96,0.029,0,32,0,0,48,0
0.96,0.03,0,32,0,0,48,0
0.96,0.031,0,32,0,0,48,0
0.96,0.032,0,32,0,0,48,0
0.96,0.033,0,32,0,0,48,0
0.96,0.034,0,32,0,0,48,0
0.96,0.035,0,32,0,0,48,0
0.96,0.036,0,32,0,0,48,0
0.96,0.037,0,32,0,0,48,0
0.96,0.038,0,32,0,0,48,0
0.96,0.039,0,32,0,0,48,0
0.96,0.04,0,32,0,0,48,0
0.96,0.041,0,32,0,0,48,0
0.96,0.042,0,32,0,0,48,0
0.96,0.043,0,32,0,0,48,0
0.96,0.044,0,32,0,0,48,0
0.96,0.045,0,32,0,0,48,0
0.96,0.046,0,32,0,0,48,0
0.96,0.047,0,32,0,0,48,0
0.96,0.048,0,32,0,0,48,0
0.96,0.049,0,32,0,0,48,0
0.96,0.05,0,32,0,0,48,0
